title,abstract,journal,DOI,year
Ulnar Impaction Syndrome: Ulnar Shortening vs. Arthroscopic Wafer Procedure.,"The outcome of ulnar shortenings was compared with that of arthroscopic wafer resections for ulnar impaction (or abutment) syndrome in patients with a positive ulnar variance. The outcome was measured by DASH score, visual analog scale for pain, and working incapacity. The mean DASH score in the ulnar shortening group was 26; in the wafer group it was 36. The VAS scores were respectively 4.4 and 4.6. The working incapacity was 7?months in the ulnar shortening group and 6.1 months in the wafer group. The differences between the two groups were not statistically significant. ",Journal of wrist surgery,25032075,2014
"Distal radius fracture: diagnosis, treatment, and controversies.","This article presents the diagnosis and treatment of distal radius fractures with emphasis on (1) current common principles, (2) the author's current practices, and (3) controversies. The author emphasizes that displaced distal radius fractures should be approached first with a trial of closed reduction, with or without percutaneous pinning. If this reduction is unstable or unsuccessful, open reduction is indicated. Early treatments include percutaneous pinning through the distal radioulnar joint, early or delayed reattachment/repair of the avulsed dorsal periphery of the triangular fibrocartilage complex (TFCC), reattachment of the TFCC to the ulna fovea, and late reconstruction. ",Clinics in plastic surgery,24996466,2014
Effect of wrist position on distal radioulnar joint stability: a biomechanical study.,"We investigated distal radioulnar joint (DRUJ) stability in different wrist positions and examined the relative contribution of each ligamentous component of the triangular fibrocartilage complex (TFCC) to DRUJ stability. We used nine fresh-frozen cadavers. The humerus and ulna were fixed at 90° elbow flexion. The radiocarpal unit was translated relative to the ulna in dorsopalmar directions with the wrist in five positions. Displacement of the unit was measured by an electromagnetic tracking device. Magnitudes of displacement were compared between different wrist positions in various sectioning stages: ulnocarpal ligament (UCL) sectioning, radioulnar ligaments (RUL) sectioning, and extensor carpi ulnaris (ECU) floor sectioning. Wrist position and sectioning stage significantly influenced the displacement. In intact wrists, the displacement in wrist extension was significantly lower than that in neutral. However, after UCL sectioning, there were no longer any significant differences. After RUL sectioning, the displacement in radial deviation was significantly lower than that in neutral. Following ECU floor sectioning, there were no longer any significant differences. Thus, in intact wrists, DRUJ stability in wrist extension is likely due to tightening of the UCL. After complete RUL sectioning, DRUJ is stabilized in radial deviation due to tightening of the ECU floor.",Journal of orthopaedic research : official publication of the Orthopaedic Research Society,24965001,2014
"Assessment of T1, T1ρ, and T2 values of the ulnocarpal disc in healthy subjects at 3 tesla.","OBJECTIVE: The purpose of this study was to implement clinically feasible imaging techniques for determination of T1, T1ρ, and T2 values of the ulnocarpal disc and to assess those values in a cohort of asymptomatic subjects at 3 tesla. Resulting values were compared between different age groups, since former histological findings of the ulnocarpal disc indicated frequent early degenerative changes of this tissue starting in the third decade of life, even in asymptomatic subjects.MATERIALS AND METHODS: Twenty-seven healthy subjects were included in this study. T1 measurements were performed using 3D spoiled gradient-echo (GRE) sequence with variable flip angle. A series of T1ρ and T2-weighted images was acquired by a 3D GRE sequence after suitable magnetization preparation. T1,T1ρ, and T2 maps of the ulnocarpal disc were calculated pixel-wise. Representative mean values from extended regions were analysed.RESULTS: Mean T1 values of the ulnocarpal disc ranged from 722 ms in a 39 year-old subject to 1264 ms in a 65 year-old subject, T1ρ ranged from 9.2 ms (26 year-old subject) to 25.9 ms (65 year-old subject). Calculated T2 values showed a large range from 4.1 ms to 22.3 ms. T1ρ and T1 values tended to increase with age (p&lt;0.05), whereas T2 did not.CONCLUSIONS: MR relaxometry of the ulnocarpal disc is feasible, and T1,T1ρ, and T2 values show modest variance in asymptomatic subjects. The potential of relaxation mapping to reveal relevant structural changes in patients has to be investigated in further studies.",Magnetic resonance imaging,24960365,2014
"The role of imaging in diagnosing diseases of the distal radioulnar joint, triangular fibrocartilage complex, and distal ulna.","OBJECTIVE: The purpose of this article is to review the anatomy, biomechanics, and multimodality imaging findings of common and uncommon distal radioulnar joint (DRUJ), triangular fibrocartilage complex, and distal ulna abnormalities.CONCLUSION: The DRUJ is a common site for acute and chronic injuries and is frequently imaged to evaluate chronic wrist pain, forearm dysfunction, and traumatic forearm injury. Given the complex anatomy of the wrist, the radiologist plays a vital role in the diagnosis of wrist pain and dysfunction.",AJR. American journal of roentgenology,24951208,2014
[Limits to arthroscopic treatment of degenerative triangular fibrocartilage complex lesions depending on the ulnar variance].,"PURPOSE: The present prospective study investigated the influence of the static ulnar variance on the success of arthroscopic debridement of degenerative TFCC lesions.PATIENTS AND METHODS: 10 patients with an ulnar positive variance (&quot;Ulna+&quot;) and 12 patients with ulnar neutral or ulnar negative variance (&quot;Ulna-/0&quot;) were examined preoperatively (U0), as well as at 2 (U2) and 6 (U6) months after arthroscopic debridement of degenerative TFCC lesions and compared with each other. After the U2 investigation due to persistent complaints in 9 of 10 patients with an ulnar positive variance there was a need for further surgery, consisting of ulnar shortening osteotomy (USO). The following parameters were recorded in each case: pain at rest and with load, the summed wrist range of motion - consisting of extension and flexion, radial and ulnar deviation, pronation and supination - compared to the contralateral side, the strength of the affected hand compared to the contralateral side, the Mayo modified wrist score (MMWS), the Krimmer score and the DASH score. Preoperatively there were no significant differences between the 2 cohorts &quot;Ulna+&quot; and &quot;Ulna-/0&quot; except for the characteristic &quot;pain at rest&quot;.RESULTS: At 2 months postoperatively (U2), the results in the cohort &quot;Ulna+&quot; remained at a significantly or tendentially poorer level compared to the cohort &quot;Ulna-/0&quot;. The subsequent surgical treatment of the subgroup &quot;Ulna+&quot; with USO led to almost complete approximation of the results at 6 months postoperatively (U6). In addition to this, with time (U6) within each subgroup there were tendential or significant improvements of all characteristics compared to the preoperative situation (U0). At U6 four of 22 patients were -unable to work.CONCLUSION: Degenerative lesions of the TFCC can be treated successfully by arthroscopic debridement in cases of ulnar negative and ulnar neutral variance. Patients with ulnar positive variance and persistent complaints after debridement of the TFCC can be treated successfully with a secondary ulnar shortening osteotomy.","Handchirurgie, Mikrochirurgie, plastische Chirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Handchirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Mikrochirurgie der Peripheren Nerven und Gefasse : Organ der V...",24940630,2014
[Results of arthroscopic repair of triangular fibrocartilage complex peripheral tears (Palmer type 1B)].,"BACKGROUND: Triangular fibrocartilage complex (TFCC) injury is the major cause of wrist pain on the ulnar side. In this study, treatment outcomes of arthroscopically repaired peripheral TFCC tears (Palmer type 1B) were evaluated retrospectively.METHODS: Thirty-eight patients (30 males, 8 females; mean age 27.6; range 19 to 42 years) with TFCC tears (Palmer type 1B) who were treated arthroscopically between February 2007-July 2012 were evaluated retrospectively. The data were collected by Mayo wrist evaluation form and by preoperative and postoperative visual analogue scale (VAS).RESULTS: The results of the data collected by the Mayo wrist evaluation forms were perfect in 30 patients and good in 8 patients. Preoperative VAS was 6.53 (range: 4.5-8.2) and postoperative VAS was 1.48 (range: 0.3-3.1).DISCUSSION: With the arthroscopic technique, TFCC tears can be repaired with minimal harm and better visualization, and evaluation of all the structures of the wrist can be done. Outside-to-inside suturing technique, which is performed through the portal opened 1 cm inferior to the 6R portal, is the least traumatic technique and does not carry the risk of injury to the superficial branch of the ulnar nerve. With this technique, the complaints of preoperative pain can be eliminated significantly.",Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma &amp; emergency surgery : TJTES,24936843,2014
Arthroscopic debridement with and without distal ulnar resection in the treatment of triangular fibrocartilage complex tears.,"A retrospective survey for debridement with or without wafer distal ulna resection was performed. Forty six patients responded to a questionnaire on pain, disability and time off work. The mean DASH score decreased from 42 to 28 on average. Thirty two patients were satisfied. The pain was considered severe in 12 patients. There were significant differences in the outcome between debridement only and debridement with wafer resection of the distal ulna.",Acta orthopaedica Belgica,24873094,2014
The impact of coronal alignment on distal radioulnar joint stability following distal radius fracture.,"PURPOSE: Shift of the distal fragment of a distal radius fracture (DRF) in the coronal plane (coronal shift) may compromise the contributions of the distal oblique bundle (DOB) of the interosseous membrane to distal radioulnar joint (DRUJ) stability. The purpose of the study was to test our hypothesis that coronal shift of the distal fragment would increase dorsal-volar DRUJ displacement in response to applied load.METHODS: A distal radius osteotomy was performed proximal to the sigmoid notch base and the ulnar styloid was cut (to simulate triangular fibrocartilage complex detachment) in 10 cadaveric specimens. A volarly placed plate was used to shift the distal radius fragment radially in 2-mm increments. A mechanical testing apparatus applied a 20 N load to the distal fragment perpendicular to the volar cortex with the forearm in neutral, 60° pronation, and 60° supination. Dorsal-volar displacement of the radius relative to the fixed ulna was measured in the control state (DRF and ulnar styloid anatomically fixed) and in 3 positions (anatomical reduction, 2-mm coronal shift, 4-mm coronal shift) with ulnar styloid displacement. The specimens were dissected post hoc to evaluate for a distinct DOB (thickness, &gt; 0.5 mm). Dorsal-volar DRUJ displacement was compared among testing and control states using analysis of variance.RESULTS: In specimens with a distinct DOB, 2-mm coronal shift significantly increased dorsal-volar DRUJ displacement. However, there was no difference in DRUJ displacement between 4-mm coronal shift and control state. Coronal shift did not affect dorsal-volar DRUJ displacement in specimens without a distinct DOB.CONCLUSIONS: In the setting of an ulnar styloid fracture, a 2-mm (but not a 4-mm) coronal shift of the DRF is associated with increased dorsal-volar DRUJ displacement in specimens with a distinct DOB, but not in specimens without a distinct DOB.CLINICAL RELEVANCE: Awareness of the importance of coronal shift may aid in prevention of DRUJ instability associated with DRF, especially in patients with a DOB.",The Journal of hand surgery,24857823,2014
Sensory innervation of the triangular fibrocartilage complex: a cadaveric study.,"PURPOSE: To describe the sensory innervation of the triangular fibrocartilage complex (TFCC) to understand the potential for selective denervation as an alternative treatment for recalcitrant pain from stable TFCC IA lesions after failed nonsurgical treatment.METHODS: Eleven fresh cadaveric limbs were dissected with × 3.2 loupe magnification in a proximal to distal manner. The candidate nerves were the dorsal cutaneous branch of the ulnar nerve, volar sensory branch of the ulnar nerve, anterior interosseous nerve, posterior interosseous nerve, medial antebrachial cutaneous nerve, and palmar cutaneous branch of the median nerve. We identified neural continuity to the TFCC histologically with S-100 protein antibody staining.RESULTS: In the 11 specimens, the TFCC was innervated by the dorsal cutaneous branch of the ulnar nerve (100%), medial antebrachial cutaneous nerve (91%), volar branch of the ulnar nerve (73%), anterior interosseous nerve (27%), posterior interosseous nerve (18%), and palmar branch of the median nerve (9%).CONCLUSIONS: These results provide an initial step in planning an operative partial TFCC denervation for recalcitrant TFCC IA injuries that fail nonsurgical treatment and possibly also arthroscopic debridement.CLINICAL RELEVANCE: Based on the results of this anatomic study, it is possible to create an algorithm for performing nerve blocks of the TFCC that would aid in planning a surgical denervation procedure.",The Journal of hand surgery,24785703,2014
Current indications for and the technique of wrist arthroscopy.,"Since its introduction more than 30 years ago, wrist arthroscopy has become an essential diagnostic and therapeutic tool in hand surgery. This procedure minimizes exposures and allows access to otherwise remotely located anatomic regions with minimal morbidity. Advances in anatomic understanding and wrist scope technology have standardized the procedure and expanded indications. Current applications are diagnostic staging of various wrist pathologies where arthroscopy allows for a direct, magnified, and tactile-assisted examination. This includes injuries to the triangular fibrocartilage complex (TFCC), osteochondral lesion of the carpus, and dynamic assessment of carpal instability and radiocarpal arthritis. Therapeutic applications have continued to expand and include arthroscopic-assisted fracture reductions, treatment of radiocarpal synovitis and arthritis, TFCC repairs, and arthroscopic management of soft tissue pathologies such as ganglion excisions and release of contractures.",Orthopedics,24754550,2014
Palmar reconstruction of the triangular fibrocartilage complex for static instability of the distal radioulnar joint.,"This study describes a new technique that can be used for reconstructing the triangular fibrocartilage complex to correct the static palmar radius instability of the distal radioulnar joint. In the abovementioned condition, the radius is extremely unstable with respect to the ulna and dislocates palmarly in the resting position. Using a palmar approach, a palmaris longus tendon graft was sutured to the remnant of the disrupted palmar radioulnar and ulnocarpal ligaments and then anchored to the bone tunnel that was created at the ulnar fovea. This technique predominantly reinforces the palmar structure of triangular fibrocartilage complex because the palmar radioulnar ligament is the most critical stabilizer of palmar radius instability. ",Techniques in hand &amp; upper extremity surgery,24752202,2014
Anatomic foveal reconstruction of the triangular fibrocartilage complex with a tendon graft.,"An acute injury to the triangular fibrocartilage complex (TFCC) with avulsion of the foveal attachment can produce distal radioulnar joint (DRUJ) instability. The avulsed TFCC is translated distally so the footprint will be bathed in synovial fluid from the DRUJ and will become covered in synovitis. If the TFCC fails to heal to the footprint, then persistent instability can occur. The authors describe a surgical technique indicated for the treatment of persistent instability of the DRUJ due to foveal detachment of the TFCC. The procedure utilizes a loop of palmaris longus tendon graft passed through the ulnar aspect of the TFCC and into an osseous tunnel in the distal ulna to reconstruct the foveal attachment. This technique provides stability of the distal ulna to the radius and carpus. We recommend this procedure for chronic instability of the DRUJ due to TFCC avulsion, but recommend that suture repair remain the treatment of choice for acute instability. An arthroscopic assessment includes the trampoline test, hook test, and reverse hook test. DRUJ ballottement under arthroscopic vision details the direction of instability, the functional tear pattern, and unmasks concealed tears. If the reverse hook test demonstrates a functional instability between the TFCC and the radius, then a foveal reconstruction is contraindicated, and a reconstruction that stabilizes the radial and ulnar aspects of the TFCC is required. The foveal reconstruction technique has the advantage of providing a robust anatomically based reconstruction of the TFCC to the fovea, which stabilizes the DRUJ and the ulnocarpal sag.",Techniques in hand &amp; upper extremity surgery,24694387,2014
The wrist insufflation test: a confirmatory test for detecting intercarpal ligament and triangular fibrocartilage complex tears.,"PURPOSE: The purpose of this study was to determine the accuracy of the wrist insufflation test based on mean radiocarpal and midcarpal joint space volumes.METHODS: Twenty-nine patients underwent 3-4 portal radiocarpal and radial midcarpal portal insufflation before wrist arthroscopy. The volume remaining in the radiocarpal space at equilibrium was recorded, and the contour of the dorsal wrist and distal radioulnar joint was palpated for a fluid wave. After insufflation, wrist arthroscopy was performed and diagnoses were recorded. The mean volumes of the intact radiocarpal and midcarpal spaces were then compared with those of the compromised radiocarpal and midcarpal spaces to determine the overall sensitivity and specificity of the test.RESULTS: A total of 29 patients (18 male and 11 female) underwent wrist insufflation before wrist arthroscopy. The mean age of the patients was 42 years (range, 17 to 69 years). Intact radiocarpal spaces accepted a mean of 3.5 ± 0.16 mL of fluid, whereas compromised radiocarpal spaces accepted a mean of 5.5 ± 0.48 mL of fluid (P &lt; .01; 95% confidence interval, 2.87 to 3.30). Intact midcarpal spaces accepted a mean of 2.5 ± 0.18 mL, whereas compromised midcarpal spaces accepted a mean of 5.6 ± 0.38 mL (P &lt; .01; 95% confidence interval, 1.70 to 2.30). The overall sensitivity of the test was 83.3%, and the overall specificity was 100%.CONCLUSIONS: Complete scapholunate interosseous ligament and triangular fibrocartilage complex tears can be detected when there is an increased radiocarpal joint space volume with insufflation through the 3-4 portal combined with a fluid wave over the radial midcarpal space or the distal radioulnar joint. Complete scapholunate interosseous ligament and lunotriquetral interosseous ligament tears can also be detected when there is an increased midcarpal space volume with insufflation through the radial midcarpal portal combined with a fluid wave over the radial radiocarpal space or the ulnar radiocarpal space.LEVEL OF EVIDENCE: Level IV, therapeutic case series.",Arthroscopy : the journal of arthroscopic &amp; related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,24680305,2014
Ligamentous sports injuries of the hand and wrist.,"Athletic injuries of the hand and wrist continue to increase as athletes get bigger, faster, and the weekend warrior continues to be active throughout his or her lifespan. The management of hand and wrist injuries in these athletes depends on the sport, position, timing during the season the injury occurs, and how many years the athlete has left to play in competition. In the past, these injuries were thought to be trivial; but if not ideally managed, complications can occur which may keep the skilled athlete or the weekend warrior out for a prolonged period of time. This article concentrates on common athletic injuries of the hand and wrist. ",Sports medicine and arthroscopy review,24651289,2014
[Magnet resonance imaging in common injuries of the wrist].,"Falling on the outstretched hand is a common trauma mechanism. In contrast to fractures of the distal radius, which usually are diagnosed on plain film radiographs, identifying wrist injuries requires further diagnostic methods, e.g., MRI or CT. This article provides a review of the use of MRI in the most common traumatic wrist injuries, including scaphoid fractures, TFCC lesions, and tears of the scapholunate ligament. Early and selective use of MRI as a further diagnostic method in cases of adequate clinical suspicion helps to initiate the correct treatment and, thus, prevents long-term arthrotic injuries and reduces unnecessary absence due to illness. MRI shows a high reliability in the diagnosis of scaphoid fractures and the America College of Radiology recommends MRI as method of choice after X-ray images have been made. In the diagnosis of ligament and discoid lesions, MR arthrography (MRA) using intraarticular contrast agent has considerably higher accuracy than i.v.-enhanced and especially unenhanced MRI.",Der Unfallchirurg,24622905,2014
Ulnar shortening osteotomy utilizing a TriMed ulnar osteotomy system.,"Ulnar impaction syndrome (UIS) is a degenerative condition of the ulnar wrist typically seen in patients with static or dynamic ulnar-positive variance. Impaction of the distal ulna on the proximal lunate and triquetrum leads to degeneration of the triangular fibrocartilage complex and/or the chondral surfaces of the lunate and triquetrum. Patients with UIS present with pain in the ulnar aspect of the wrist. In cases of UIS refractory to nonoperative treatment, several surgical techniques have been described, including arthroscopic triangular fibrocartilage complex debridement, arthroscopic wafer procedure, and ulnar shortening osteotomy (USO). USO has gained favor as a reliable technique to offload the forces seen at the ulnar wrist extra-articularly while preserving the distal radioulnar joint stabilizing structures. We describe a technique utilizing a jig-facilitated, oblique, diaphyseal USO and fixed with a TriMed ulnar osteotomy compression plate. This system allows for precise measured ulnar shortening and reliable compression across the osteotomy site, and has been shown to decrease operative times and achieve to high union rates. Plate prominence is minimized by utilizing the volar surface of the ulna, although plate prominence and subsequent need for hardware removal remain a relatively common complication.",Techniques in hand &amp; upper extremity surgery,24614866,2014
Distal radioulnar joint kinematics in simulated dorsally angulated distal radius fractures.,"PURPOSE: To examine the effects of dorsal angulation deformities of the distal radius with and without triangular fibrocartilage complex (TFCC) rupture on the 3-dimensional kinematics of the distal radioulnar joint (DRUJ) during simulated active motion.METHODS: Nine fresh-frozen cadaveric specimens were tested in a forearm simulator that produced active forearm rotation. Dorsal angulation deformities of the distal radius with 10°, 20°, and 30° angulation were created. Changes in the position of the ulna relative to the radius at the DRUJ as a consequence of each dorsal angulation deformity were quantified during simulated active supination in terms of volar, ulnar, and distal displacement of the ulna. Testing was performed initially with the TFCC intact and repeated after complete sectioning of the TFCC at its ulnar insertion.RESULTS: Increasing dorsal angulation deformities of the distal radius significantly increased volar, ulnar, and distal displacement of the ulna when the TFCC was intact. Sectioning of the TFCC significantly increased volar displacement of the ulna in dorsal angulation deformities. As little as 10° of dorsal angulation significantly increased distal displacement of the ulna with the TFCC intact and resulted in a significant increase in volar, ulnar, and distal displacement of the ulna with sectioned TFCC.CONCLUSIONS: Dorsal angulation deformities of the distal radius affect the 3-dimensional kinematics of the DRUJ, especially with the TFCC sectioned.CLINICAL RELEVANCE: The progressive change in DRUJ kinematics with increasing dorsal angulation may partially explain the relationship between the magnitude of dorsal angulation of distal radius fractures and functional outcomes in younger patients. The status of the TFCC should be evaluated carefully, as well as the magnitude of osseous deformity in patients with distal radius fractures and malunions, because changes in DRUJ kinematics caused by dorsal angulation are greater when the TFCC is ruptured.",The Journal of hand surgery,24594268,2014
Arthroscopy during ulnar shortening for idiopathic ulnar impaction syndrome.,"Arthroscopy during ulnar shortening osteotomy for ulnar impaction syndrome is subject to debate regarding its clinical usefulness. The purposes of this study were to analyze the arthroscopic findings in patients who underwent ulnar shortening osteotomy and to assess the role of arthroscopic evaluation during osteotomy. Medical records and arthroscopic findings of 50 consecutive patients who had been diagnosed with idiopathic ulnar impaction syndrome were retrospectively evaluated. Pathologic changes of the articular disk of the triangular fibrocartilage complex (TFCC), chondromalacia of the lunate and triquetrum, and tears of the lunotriquetral interosseous ligament (LTIL) were evaluated during arthroscopy. Palmer’s classification was used to classify the TFCC lesions. Perforation of the TFCC was observed in 20 patients, and central tears were observed in 10. Thirty-eight patients exhibited chondromalacia of the lunate, including 4 unstable cartilage flaps. Partial tears of the LTIL were detected in 24 patients, including 9 unstable flap tears. In 21 (42%) of 50 patients, arthroscopic findings were not appropriate to define the disease stage with Palmer’s original description. Eight wrists exhibited tears or perforations of the TFCC without evidence of chondromalacia. Seven patients had an LTIL tear without perforation of the TFCC. Lunotriquetral interosseous ligament tears without lunate chondromalacia were found in 7 patients. Arthroscopic debridement was performed in 23 patients based on the clinical judgment that the procedure would help alleviate symptoms postoperatively. Arthroscopy during ulnar shortening osteotomy addresses intra-articular pathologies and may be helpful for symptom improvement.",Orthopedics,24579220,2014
[Instability of the distal radioulnar joint - an overview of clinical and radiological procedures regarding their efficacies].,"The distal radioulnar joint (DRUJ) plays a tremendous role regarding the functionality of the upper extremity. Lesions of the DRUJ can limit the functionality of the upper extremity decisively. Many clinical and radiological procedures are used to diagnose instability of the DRUJ. Up to now, there has not been a general consensus concerning the standardisation of the evaluation of DRUJ instability. The TFCC (triangular fibrocartilage complex) with its ligamentum subcruentum insertions at the fovea ulnaris and at the basis of the processus styloideus ulnae is in conjunction with the membrana interossea a very important stabiliser of the DRUJ. A fall on the extended hand or a forceful wrist rotation can usually cause injuries to the stabilisers. Ulnar-sided pain, limited pronosupination and loss of grip strength are clinically apparent. Both clinical tests and radiological procedures should be judged regarding their specific efficacies. These tests have to be evaluated in comparison to the gold standard of wrist arthroscopy. Each test alone is not able to verify DRUJ instability on a regular basis. The introduction of a standardised diagnostic procedure including anamnesis and specific clinical and radiological tests should be established. The standardisation ought to be maintained strictly in order to guarantee a growing test efficacy. Finally, high diagnostic reliability is based on a thorough examination which includes complementary clinical and radiological procedures. ","Handchirurgie, Mikrochirurgie, plastische Chirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Handchirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Mikrochirurgie der Peripheren Nerven und Gefasse : Organ der V...",24549807,2014
Revision wrist arthroscopy after failed primary arthroscopic treatment.,"Background The etiologies and outcomes of cases of failed therapeutic wrist arthroscopy have not been well-described to date. Purpose The purposes of this study were to identify common preventable patterns of failure in wrist arthroscopy and to report outcomes of a series of revision arthroscopy cases. Patients and Methods Retrospective review of 237 wrist arthroscopies revealed 21 patients with a prior arthroscopy for the same symptoms, of which 16 were assessed by questionnaires and physical exam for this study. Results Six of sixteen patients (38%) had unrecognized dynamic ulnar impaction after débridement of triangular fibrocartilage complex (TFCC) tears, which resolved with arthroscopic wafer resection. Five (31%) had persistent distal radioulnar joint (DRUJ) instability after initial treatment of TFCC tears, requiring arthroscopic repair at revision. Four (25%) experienced diffuse dorsal wrist pain initially diagnosed as TFCC tears, but dynamic scapholunate ligament injuries were found and addressed with radiofrequency (RF) shrinkage at reoperation. Two (13%) required further resection of the radial styloid, after initial débridement was insufficient to correct radioscaphoid impingement. At a mean of 4.8 years after repeat arthroscopy (range, 1.5-13.4 years), this cohort had significant improvements in pain and satisfaction with outcomes after revision arthroscopy. Conclusions The most common indications for repeat wrist arthroscopy were ligamentous instability (of the DRUJ or scapholunate ligament) and osteoarthritis (from dynamic ulnar impaction or radioscaphoid impingement). Although revision wrist arthroscopy may yield acceptable outcomes, careful assessment of stability and cartilage wear at index procedure is crucial.</AbstractText>: Background The etiologies and outcomes of cases of failed therapeutic wrist arthroscopy have not been well-described to date. Purpose The purposes of this study were to identify common preventable patterns of failure in wrist arthroscopy and to report outcomes of a series of revision arthroscopy cases. Patients and Methods Retrospective review of 237 wrist arthroscopies revealed 21 patients with a prior arthroscopy for the same symptoms, of which 16 were assessed by questionnaires and physical exam for this study. Results Six of sixteen patients (38%) had unrecognized dynamic ulnar impaction after débridement of triangular fibrocartilage complex (TFCC) tears, which resolved with arthroscopic wafer resection. Five (31%) had persistent distal radioulnar joint (DRUJ) instability after initial treatment of TFCC tears, requiring arthroscopic repair at revision. Four (25%) experienced diffuse dorsal wrist pain initially diagnosed as TFCC tears, but dynamic scapholunate ligament injuries were found and addressed with radiofrequency (RF) shrinkage at reoperation. Two (13%) required further resection of the radial styloid, after initial débridement was insufficient to correct radioscaphoid impingement. At a mean of 4.8 years after repeat arthroscopy (range, 1.5-13.4 years), this cohort had significant improvements in pain and satisfaction with outcomes after revision arthroscopy. Conclusions The most common indications for repeat wrist arthroscopy were ligamentous instability (of the DRUJ or scapholunate ligament) and osteoarthritis (from dynamic ulnar impaction or radioscaphoid impingement). Although revision wrist arthroscopy may yield acceptable outcomes, careful assessment of stability and cartilage wear at index procedure is crucial.LEVEL OF EVIDENCE:  Level IV Therapeutic.",Journal of wrist surgery,24533243,2014
Defining residual radial translation of distal radius fractures: a potential cause of distal radioulnar joint instability.,"BACKGROUND: Instability of the distal radioulnar joint (DRUJ) is a complication that can occur following distal radius fracture or malunion. We have observed that residual radial translation of the distal radius, relative to the radial shaft, may be a causal factor of DRUJ instability, even once the traditional radiographic parameters (volar tilt, radial inclination, and ulnar variance) have been restored. Residual radial translation of the distal fragment may cause detensioning of the distal interosseous membrane (IOM) and pronator quadratus with poor apposition between the ulnar head and sigmoid notch. This may potentially lead to persistent instability of the ulnar head following internal fixation. Residual radial translation deformity is at risk of being overlooked by the wrist surgeon as there is no existing radiographic parameter that accurately measures this deformity.PATIENTS AND METHODS: In this study, 100 normal wrist radiographs were reviewed by three fellowship-trained orthopedic surgeons to develop a simple and reproducible technique to measure radial translation.RESULTS: Utilizing the method described, the point of intersection between the ulnar cortex of the shaft of the radius and the lunate left a mean average of 45.48% (range 25–73.68%) of the lunate remaining on the radial side. In the majority of cases more of the lunate resided ulnar to this line. High levels of agreement with inter-rater (intraclass coefficients = 0.967) and intra-rater (intraclass coefficients = 0.79) reliability was observed.CONCLUSIONS: The results of this study can be used to define a normal standard against which residual radial translation can be measured to assess the reduction of distal radius fractures. This new parameter aids in the development of surgical techniques to correct residual radial translation deformity. In addition, awareness and correction of this potential malreduction at the time of surgery may decrease the need for other procedures on the ulnar side of the wrist to improve DRUJ stability, such as ulnar styloid fixation, TFCC repair, or ligamentous grafting [corrected].",Journal of wrist surgery,24533242,2014
Influence of ulnar translation of the radial shaft in distal radius fracture on distal radioulnar joint instability.,"It has been reported that the distal interosseous membrane (DIOM) of the forearm constrains the dorsal dislocation of the distal radius. A residual ulnar translation deformity of the radial shaft in distal radius fractures has the potential to cause distal radioulnar joint (DRUJ) instability when triangular fibrocartilage complex (TFCC) injury is also present, because it may result in detensioning of the DIOM. Correction of ulnar translation of the radial shaft is critical because it restores DIOM tension, which then firmly holds the ulnar head in the concavity of the sigmoid notch. ",Journal of wrist surgery,24533241,2014
Radiographic and Arthroscopic Assessment of DRUJ Instability Due to Foveal Avulsion of the Radioulnar Ligament in Distal Radius Fractures.,"Background As the triangular fibrocartilage complex (TFCC) anchors the distal radius to the ulna via the radioulnar ligament (RUL), a severely displaced distal fragment of the radius may be associated with a foveal avulsion of the TFCC. The purpose of this retrospective study was to assess, radiographically and arthroscopically, the relationship between displacement of the radius, the ulnar styloid, and avulsion of the RUL resulting in distal radioulnar joint (DRUJ) instability. Materials and Methods Twenty-nine wrists of 29 patients with intra- and extra-articular distal radius fractures/malunion who underwent reduction or a corrective osteotomy of the displaced/malunited fracture, and/or wrist arthroscopy, were assessed radiographically and arthroscopically. Radial translation, radial inclination, radial shortening, volar or dorsal tilt, and the presence of an ulnar styloid fracture with more than 4 mm of displacement were measured from the initial films. Radiocarpal arthroscopy was used to assess peripheral lesions of the TFCC, while DRUJ arthroscopy was used to assess the foveal attachment. The relationship between displacement of the distal radius or the ulnar styloid fracture and the TFCC injury, including avulsion of the RUL, was recorded. Results Univariate analysis revealed that increased radial translation, decreased radial inclination, increased radial shortening, and an ulnar styloid fragment radially displaced by more than 4 mm were significant predictors of RUL avulsion at the fovea. Volar or dorsal tilt of the radius and ulnar variance did not correlate with RUL avulsion or TFCC injuries. Multiple logistic regression analysis revealed that radial translation was an independent risk factor of foveal avulsion of the RUL. Conclusions Increased radial translation and radial shortening and decreased radial inclination of the distal fragment can be associated with a foveal avulsion of the RUL. Radial translation can be an independent risk factor of foveal avulsion of the RUL. ",Journal of wrist surgery,24533240,2014
